id,file,line,owner,tag,label_hint,source
"C00001","golden/crm.html","1768","(top-level/template)","div","","<div class=""mi on clk"" data-p=""dash"" onclick=""nav(this)"">"
"C00002","golden/crm.html","1769","(top-level/template)","div","","<div class=""mi clk"" data-p=""inq"" onclick=""nav(this)"">"
"C00003","golden/crm.html","1770","(top-level/template)","div","","<div class=""mi clk"" data-p=""pipe"" onclick=""nav(this)"">"
"C00004","golden/crm.html","1772","(top-level/template)","div","","<div class=""mi clk"" data-p=""mgmt"" onclick=""nav(this)"">"
"C00005","golden/crm.html","1773","(top-level/template)","div","","<div class=""mi clk"" data-p=""perf"" onclick=""nav(this)"">"
"C00006","golden/crm.html","1774","(top-level/template)","div","","<div class=""mi clk"" data-p=""gyeongnam"" onclick=""nav(this)"">"
"C00007","golden/crm.html","1775","(top-level/template)","div","","<div class=""mi clk"" data-p=""brief"" onclick=""nav(this)"">"
"C00008","golden/crm.html","1777","(top-level/template)","div","","<div class=""mi clk"" data-p=""work"" onclick=""nav(this)"">"
"C00009","golden/crm.html","1778","(top-level/template)","div","","<div class=""mi clk"" data-p=""sites"" onclick=""nav(this)"">"
"C00010","golden/crm.html","1779","(top-level/template)","div","","<div class=""mi clk"" data-p=""report"" onclick=""nav(this)"">"
"C00011","golden/crm.html","1781","(top-level/template)","div","","<div class=""mi clk"" data-p=""dup"" onclick=""nav(this)"">"
"C00012","golden/crm.html","1788","(top-level/template)","input","","<input id=""q"" placeholder=""현장·담당자 검색"" oninput=""G.q=this.value.trim();paint()"">"
"C00013","golden/crm.html","1794","(top-level/template)","button","JSON","<button class=""rf clk"" onclick=""exportFullDataJSON()"" title=""전체 CRM 데이터 JSON 내보내기"" style=""width:auto;padding:0 10px;background:#fff;border:1px solid var(--line2);color:var(--blue);font-size:12px;font-weight:900"">"
"C00014","golden/crm.html","1794","(top-level/template)","button","🔍","<button class=""rf clk"" onclick=""runDiag()"" title=""연결 점검 — 데이터가 안 뜰 때 원인 확인"" style=""background:#fff;border:1px solid var(--line2);color:var(--ink2);margin-right:-4px"">"
"C00015","golden/crm.html","1794","(top-level/template)","button","↻","<button class=""rf clk"" onclick=""loadData()"" title=""새로고침"">"
"C00016","golden/crm.html","1804","(top-level/template)","form","
    ","<form onsubmit=""authSignIn();return false"">"
"C00017","golden/crm.html","1806","(top-level/template)","input","","<input id=""au-name"" autocomplete=""username"" placeholder=""예: 황윤선"">"
"C00018","golden/crm.html","1808","(top-level/template)","input","","<input id=""au-pw"" type=""password"" inputmode=""numeric"" autocomplete=""current-password"" placeholder=""본인 핸드폰 번호"">"
"C00019","golden/crm.html","1809","(top-level/template)","button","로그인","<button class=""abtn"" id=""au-btn"" type=""submit"">"
"C00020","golden/crm.html","1814","(top-level/template)","button","
      ","<button class=""gbtn"" onclick=""authGoogle()"">"
"C00021","golden/crm.html","1879","(top-level/template)","button","📱 모바일","<button id=""mv-app"" class=""on"" onclick=""setMobPanel(false)"">"
"C00022","golden/crm.html","1880","(top-level/template)","button","📋 관리 항목 · SLA 표","<button id=""mv-panel"" onclick=""setMobPanel(true)"">"
"C00023","golden/crm.html","1922","(top-level/template)","div","","<div id=""ovl"" onclick=""closeDrw()"">"
"C00024","golden/crm.html","1924","(top-level/template)","button","✕","<button class=""x"" onclick=""closeDrw()"">"
"C00025","golden/crm.html","1928","(top-level/template)","button","← 목록으로","<button class=""backbtn"" onclick=""closeDetail()"">"
"C00026","golden/crm.html","1931","(top-level/template)","div","
  ","<div class=""modalshade"" id=""transitionModal"" aria-hidden=""true"" onclick=""if(event.target===this)closeTransition()"">"
"C00027","golden/crm.html","1933","(top-level/template)","button","✕","<button class=""modalclose"" onclick=""closeTransition()"">"
"C00028","golden/crm.html","1937","(top-level/template)","div","
  ","<div class=""modalshade"" id=""bulkModal"" aria-hidden=""true"" onclick=""if(event.target===this)closeBulkDialog()"">"
"C00029","golden/crm.html","1939","(top-level/template)","button","✕","<button class=""modalclose"" onclick=""closeBulkDialog()"">"
"C00030","golden/crm.html","1943","(top-level/template)","div","
  ","<div class=""modalshade"" id=""quickContactModal"" aria-hidden=""true"" onclick=""if(event.target===this)closeQuickContact()"">"
"C00031","golden/crm.html","1945","(top-level/template)","button","✕","<button class=""modalclose"" onclick=""closeQuickContact()"" aria-label=""닫기"">"
"C00032","golden/crm.html","1949","(top-level/template)","div","
  ","<div class=""modalshade"" id=""kakaoModal"" aria-hidden=""true"" onclick=""if(event.target===this)closeKakaoModal()"">"
"C00033","golden/crm.html","1951","(top-level/template)","button","✕","<button class=""modalclose"" onclick=""closeKakaoModal()"" aria-label=""닫기"">"
"C00034","golden/crm.html","1955","(top-level/template)","div","
  ","<div class=""modalshade"" id=""splitEditModal"" aria-hidden=""true"" onclick=""if(event.target===this)splitForm(null)"">"
"C00035","golden/crm.html","1957","(top-level/template)","button","✕","<button class=""modalclose"" onclick=""splitForm(null)"" aria-label=""닫기"">"
"C00036","golden/crm.html","1961","(top-level/template)","div","
  ","<div class=""modalshade"" id=""newDealModal"" aria-hidden=""true"" onclick=""if(event.target===this)closeNewDeal()"">"
"C00037","golden/crm.html","1963","(top-level/template)","button","✕","<button class=""modalclose"" onclick=""closeNewDeal()"" aria-label=""닫기"">"
"C00038","golden/crm.html","1967","(top-level/template)","div","
  ","<div class=""modalshade perf-drawer"" id=""perfDrawer"" aria-hidden=""true"" onclick=""if(event.target===this)closePerfDrawer()"">"
"C00039","golden/crm.html","1969","(top-level/template)","button","✕","<button class=""modalclose"" onclick=""closePerfDrawer()"" aria-label=""닫기"">"
"C00040","golden/crm.html","1973","(top-level/template)","div","
  ","<div class=""modalshade report-drill"" id=""reportDrill"" aria-hidden=""true"" onclick=""if(event.target===this)closeReportDrill()"">"
"C00041","golden/crm.html","1975","(top-level/template)","button","✕","<button class=""modalclose"" onclick=""closeReportDrill()"" aria-label=""닫기"">"
"C00042","golden/crm.html","1979","(top-level/template)","div","
  ","<div class=""modalshade site-drawer"" id=""siteDrawer"" aria-hidden=""true"" onclick=""if(event.target===this)closeSiteDrawer()"">"
"C00043","golden/crm.html","1981","(top-level/template)","button","✕","<button class=""modalclose"" onclick=""closeSiteDrawer()"" aria-label=""닫기"">"
"C00044","golden/crm.html","1985","(top-level/template)","div","
  ","<div class=""modalshade"" id=""inquiryControlModal"" aria-hidden=""true"" onclick=""if(event.target===this)closeInquiryControlModal()"">"
"C00045","golden/crm.html","1987","(top-level/template)","button","✕","<button class=""modalclose"" onclick=""closeInquiryControlModal()"" aria-label=""닫기"">"
"C00046","golden/crm.html","2096","authBadge","span","로그아웃","<span class=""out"" onclick=""authSignOut()"">"
"C00047","golden/crm.html","2697","runDiag","button","↻ 다시 불러오기","<button onclick=""loadData()"">"
"C00048","golden/crm.html","2697","runDiag","button","📋 결과 복사","<button onclick=""copyDiag()"">"
"C00049","golden/crm.html","2697","runDiag","button","닫기","<button onclick=""document.getElementById(\'err\').style.display=\'none\'"">"
"C00050","golden/crm.html","2776","loadData","button","🔍 연결 점검","<button class=""errbtn"" onclick=""runDiag()"">"
"C00051","golden/crm.html","2779","loadData","button","🔍 연결 점검","<button class=""errbtn"" onclick=""runDiag()"">"
"C00052","golden/crm.html","2822","cnt","span","'+y+'","<span class=""yr clk '+(G.year===y?'on':'')+'"" onclick=""G.year=\''+y+'\';G.quarter=0;paint()"">"
"C00053","golden/crm.html","2824","cnt","span","'+q+'분기","<span class=""qbt clk '+(G.quarter===q?'on':'')+'"" onclick=""G.quarter=(G.quarter==='+q+'?0:'+q+');if(G.year===\'전체\')G.year=CUR_Y;paint()"">"
"C00054","golden/crm.html","2825","cnt","span","연간","<span class=""qbt clk '+(!G.quarter&&G.year!=='전체'?'on':'')+'"" onclick=""G.quarter=0;paint()"">"
"C00055","golden/crm.html","2826","cnt","select","'+workFilterOptions(G.workFilter)+'","<select id=""global-work-filter"" onchange=""G.workFilter=this.value;G.splitKey=null;paint()"">"
"C00056","golden/crm.html","2935","ws","div","'
   +'","<div class=""mcard2 '+(c.bad?'risk ':'')+(G.towerDrill===c.k?'on':'')+'"" title=""'+escAttr(c.tip)+'"" data-k=""'+c.k+'"" onclick=""towerDrill(this.dataset.k)"">"
"C00057","golden/crm.html","2976","paintTowerDrill","button","닫기","<button class=""dact"" onclick=""towerDrill(null)"">"
