file,line,owner,operation
"golden/crm.html","3370","todoLog","activity"
"golden/crm.html","3390","todoDone","next_action_complete"
"golden/crm.html","3401","todoDelay","next_action"
"golden/crm.html","3997","assignTo","inquiry_assign"
"golden/crm.html","4304","saveContactInfo","contact_upsert"
"golden/crm.html","4327","saveQuickContact","contact_upsert"
"golden/crm.html","4330","contactActivity","activity"
"golden/crm.html","4346","saveManagerMove","contact_move"
"golden/crm.html","4397","saveBasics","amount"
"golden/crm.html","4402","addDetailActivity","activity"
"golden/crm.html","4407","saveNextAction","next_action"
"golden/crm.html","4501","confirmTransition","close"
"golden/crm.html","4504","confirmTransition","transition"
"golden/crm.html","4505","confirmTransition","next_action"
"golden/crm.html","4946","briefCall","activity"
"golden/crm.html","4980","saveAssigneeChange","assign"
"golden/crm.html","5717","spSaveAct","activity"
"golden/crm.html","5718","spSaveAct","contact"
"golden/crm.html","5728","spSaveNext","next_action"
"golden/crm.html","5763","spSaveStage","close"
"golden/crm.html","5766","spSaveStage","transition"
"golden/crm.html","5767","spSaveStage","next_action"
"golden/crm.html","5977","linkConfirm","lineage_link"
"golden/crm.html","6267","autoPromote","transition"
"golden/crm.html","6283","autoPromote","opportunity_create"
"golden/crm.html","6464","promoteToPipeline","transition"
"golden/crm.html","6472","promoteToPipeline","opportunity_create"
"golden/crm.html","6822","confirmBizChange","service_change"
"golden/crm.html","6850","saveWorkEdit","opportunity_work_set"
"golden/crm.html","6903","saveNewDeal","opportunity_create"
"golden/crm.html","7155","consentBadges","contact_upsert"
"golden/crm.html","7159","consentBadges","contact_upsert"
"golden/crm.html","7207","relationshipSchedule","activity"
"golden/crm.html","7207","relationshipSchedule","next_action"
"golden/crm.html","7215","relationshipConfirm","message_log"
"golden/crm.html","7215","relationshipConfirm","activity"
"golden/crm.html","7215","relationshipConfirm","next_action"
"golden/crm.html","7234","toggleExecGuide","stage_check"
"golden/crm.html","7243","execRelationBadges","contact_relationship"
"golden/crm.html","7248","saveExecQuoteVersion","quote_version"
"golden/crm.html","7252","execHandoverPanel","handover"
"golden/crm.html","7290","uploadExecAttachment","attachment_prepare"
"golden/crm.html","7290","uploadExecAttachment","attachment_complete"
"golden/crm.html","7291","saveExecAttachments","activity"
"golden/crm.html","7294","execTouch","opportunity_touch"
"golden/crm.html","7295","toggleExecFavorite","favorite_set"
"golden/crm.html","7320","toggleExecGuide","stage_check"
"golden/crm.html","7365","relV8Hold","relationship_hold"
"golden/crm.html","7365","relV8Hold","next_action"
"golden/crm.html","7382","relV8PurposeChanged","message_log"
"golden/crm.html","7382","relV8PurposeChanged","activity"
"golden/crm.html","7382","relV8PurposeChanged","next_action"
